Y,M,D,TAVG,TMAX,TMIN
1961,1,1,-3,-.8,-4.6
1961,1,2,-2.5,-1.4,-4.8
1961,1,3,-.1,1.7,-2.1
1961,1,4,-.9,1.1,-1.5
1961,1,5,-1.5,-.7,-1.8
1961,1,6,-2,-.8,-4.5
1961,1,7,-1.3,-.8,-2.1
1961,1,8,-1.3,-.6,-2
1961,1,9,-.6,.4,-.8
1961,1,10,-1.7,-.7,-2.6
1961,1,11,-3.1,-.8,-4.6
1961,1,12,-7.7,-3.3,-8.5
1961,1,13,-4.8,-3.5,-8.5
1961,1,14,-2.1,2,-4.6
1961,1,15,-3.5,-2.3,-4.1
1961,1,16,-6.3,-3.1,-7.5
1961,1,17,-7.7,-4.2,-11.1
1961,1,18,-12.8,-9,-15.1
1961,1,19,-12.1,-8,-15.7
1961,1,20,-8.6,-4.9,-13.6
1961,1,21,-3.8,-2.3,-8.4
1961,1,22,-3.8,-1.3,-4.9
1961,1,23,-4.2,-1.6,-5.1
1961,1,24,-5.2,-3.9,-5.7
1961,1,25,-8.5,-5.5,-9.5
1961,1,26,-11.3,-9.5,-13.3
1961,1,27,-10.2,-6.7,-13.5
1961,1,28,-9.7,-6.8,-12.8
1961,1,29,.4,2.6,-9.3
1961,1,30,1.7,3,-1
1961,1,31,2.7,5,1.3
1961,2,1,-.8,1.9,-1.6
1961,2,2,-1.1,-.1,-2.7
1961,2,3,-2.7,-.4,-3.5
1961,2,4,-2.4,-1.4,-4
1961,2,5,-4.1,-1.4,-4.4
1961,2,6,.1,1,-4.6
1961,2,7,0,1.3,-.5
1961,2,8,-.3,.5,-.9
1961,2,9,2.1,3.5,-.1
1961,2,10,.8,2,.1
1961,2,11,1.4,3.4,-1.4
1961,2,12,.5,2.7,.1
1961,2,13,1.5,2.6,-.2
1961,2,14,2.1,3.2,1.7
1961,2,15,1.2,6,-.5
1961,2,16,2.2,6.5,-1
1961,2,17,3.6,8.6,.1
1961,2,18,-.5,3.2,-1.5
1961,2,19,1.3,2.5,-.9
1961,2,20,2.9,6.4,.7
1961,2,21,.5,2.5,.1
1961,2,22,-1.2,.2,-2
1961,2,23,-.2,1.3,-1
1961,2,24,2.1,7.4,-1.6
1961,2,25,-1.7,2,-2.9
1961,2,26,3.4,9.2,-2.8
1961,2,27,5.6,7.5,2.8
1961,2,28,3.9,11.4,-.4
1961,3,1,.4,2.9,-.9
1961,3,2,1.3,4.2,-1.1
1961,3,3,2.2,4.5,-.5
1961,3,4,2.9,7.5,0
1961,3,5,5.2,10.5,0
1961,3,6,7.1,12,2.6
1961,3,7,7.4,12.7,1.5
1961,3,8,10,14.7,5
1961,3,9,11.3,17.8,6.6
1961,3,10,9.5,14.6,6.9
1961,3,11,4.6,8.3,3.5
1961,3,12,6.8,11.4,2
1961,3,13,5.7,7.3,5
1961,3,14,5.2,6,4.9
1961,3,15,5.5,7,4.5
1961,3,16,8.1,14.4,3.5
1961,3,17,10.6,16.7,5.3
1961,3,18,5.4,12.6,2.2
1961,3,19,-.7,3.5,-2.6
1961,3,20,-1.4,1.3,-4.9
1961,3,21,-2,.3,-2.7
1961,3,22,-3.1,-.3,-6.6
1961,3,23,1.3,2.5,-2.4
1961,3,24,4.2,8.5,1.3
1961,3,25,3.9,7,1.2
1961,3,26,6.8,12.2,.7
1961,3,27,1.2,7.4,-1.8
1961,3,28,-1.3,2.2,-5
1961,3,29,1.7,3.7,-1.6
1961,3,30,4.3,5.4,1.6
1961,3,31,2.9,5.6,1.2
1961,4,1,5.4,8.4,1
1961,4,2,6.3,8.5,5.5
1961,4,3,5.8,7.8,5.2
1961,4,4,9.3,12.5,5.9
1961,4,5,14.6,18.9,8.7
1961,4,6,16.4,22.5,9.5
1961,4,7,15,21.5,10.2
1961,4,8,7.8,16.8,4.3
1961,4,9,4.8,10.6,2.2
1961,4,10,8.3,14.5,-.7
1961,4,11,9.6,14,6
1961,4,12,10.6,15.2,6.9
1961,4,13,14.7,19.1,8.1
1961,4,14,15.2,20.8,10.9
1961,4,15,9.8,17.6,8.6
1961,4,16,8.6,12.6,5.7
1961,4,17,11.1,16.2,7.6
1961,4,18,8.3,16,7.1
1961,4,19,8.1,11,6.1
1961,4,20,9.1,14.3,5.7
1961,4,21,10.6,16.7,5.1
1961,4,22,11.4,18.5,6.5
1961,4,23,8.4,12,6.5
1961,4,24,8.4,12,6.3
1961,4,25,10.2,17,7.2
1961,4,26,9.8,17.4,3.7
1961,4,27,9.7,11.6,7
1961,4,28,8.4,14.4,3
1961,4,29,8.3,13.9,5.3
1961,4,30,7.1,9.2,5.4
1961,5,1,6.8,7.8,6.1
1961,5,2,8.5,13.2,5.9
1961,5,3,9,13.4,6.5
1961,5,4,11.3,15.1,6.6
1961,5,5,15.4,21.7,10.3
1961,5,6,11.6,15.8,10.6
1961,5,7,8.6,13.9,6.1
1961,5,8,6.4,10.4,4.5
1961,5,9,3.6,6.4,3.1
1961,5,10,4.7,8.3,3
1961,5,11,3.4,6.6,1
1961,5,12,3,4.5,1.9
1961,5,13,7.9,13.5,2.5
1961,5,14,7.9,11.8,5.4
1961,5,15,7.1,13,3
1961,5,16,6.3,11.1,2.7
1961,5,17,6.2,9.2,4.5
1961,5,18,8.3,12,3.5
1961,5,19,9.3,12.6,4.6
1961,5,20,7.3,11,6
1961,5,21,7,11.6,3.4
1961,5,22,9.7,15,6.5
1961,5,23,11.7,17,6.4
1961,5,24,12.8,17.7,7.8
1961,5,25,15.6,19.5,9.5
1961,5,26,12.9,19.5,9.4
1961,5,27,7.9,14.6,4.7
1961,5,28,4.2,6.4,1.6
1961,5,29,3.3,5.1,2.7
1961,5,30,4.8,7.1,2
1961,5,31,12.3,17.2,3.2
1961,6,1,16.4,22.5,10.5
1961,6,2,11.1,18.1,7.2
1961,6,3,9.6,11.7,6.1
1961,6,4,9.4,10.4,8.9
1961,6,5,11.9,15.8,9
1961,6,6,14.1,19,10.5
1961,6,7,14.3,19.2,11.7
1961,6,8,13.2,17.4,12.4
1961,6,9,16.4,21.5,12.4
1961,6,10,9,14.9,7.4
1961,6,11,9.2,10.6,7.4
1961,6,12,10.7,14.5,8
1961,6,13,9.9,12.6,8.6
1961,6,14,8.8,11.6,8.1
1961,6,15,11.7,16.2,6.8
1961,6,16,14.5,19.1,7.4
1961,6,17,16.6,21.4,9.5
1961,6,18,18.5,23.6,12.7
1961,6,19,14.5,20.7,12.4
1961,6,20,14.9,19.5,8.7
1961,6,21,15.3,21.4,10.1
1961,6,22,17.4,23.8,8.4
1961,6,23,16.4,21.5,12.1
1961,6,24,19.2,24.2,12.5
1961,6,25,21.7,26.9,15
1961,6,26,20.6,26.5,15.1
1961,6,27,14.5,23,12.7
1961,6,28,11.3,16,7.6
1961,6,29,15.4,20.4,8.7
1961,6,30,18.3,23.7,10.9
1961,7,1,21,26.4,13.9
1961,7,2,23.1,28,15.9
1961,7,3,22.2,28.2,18.2
1961,7,4,14.4,21.7,10.2
1961,7,5,8.5,12.7,6.7
1961,7,6,8.3,12.5,4.5
1961,7,7,12.3,17.2,5.8
1961,7,8,14.6,19,8.5
1961,7,9,11.2,13.8,10
1961,7,10,11.7,16.5,9.7
1961,7,11,17.8,22.5,11
1961,7,12,20.6,26.4,13.9
1961,7,13,11.4,19.6,9.7
1961,7,14,11.7,15.8,6.5
1961,7,15,12.3,17.6,10.2
1961,7,16,10.4,14.5,8.4
1961,7,17,10.1,13.7,8.1
1961,7,18,9.5,13.4,8.6
1961,7,19,11.1,16,8.2
1961,7,20,11.1,15.4,7.6
1961,7,21,11.1,13.8,9.2
1961,7,22,10.7,14.2,9.2
1961,7,23,11.1,14.1,8
1961,7,24,11,16.6,9
1961,7,25,14,18.6,6.8
1961,7,26,17.3,22.5,11
1961,7,27,14.9,21.9,11.8
1961,7,28,11.7,13.7,10.3
1961,7,29,8.9,12.5,7.4
1961,7,30,9.7,13.5,7
1961,7,31,10.6,15.2,6.6
1961,8,1,15.3,21.1,8.3
1961,8,2,12.3,15.5,11.1
1961,8,3,11.7,16.5,9.5
1961,8,4,14.6,19.2,8.7
1961,8,5,19.4,24.9,12.9
1961,8,6,21.2,27,15.9
1961,8,7,13.2,19.3,12.3
1961,8,8,17.5,23.5,11.9
1961,8,9,16.7,19.6,14.6
1961,8,10,19.6,25,14.9
