country,code,pop,gdp,gdp_ppp,ghg,electricity
Afghanistan,AFG,38928341.0,19807067268.1084,77037691162.3816,30062.391483039028,6.42033333333333
Albania,ALB,2837743.0,14799615097.1008,37728959169.7297,9093.968249448966,2.26294
Algeria,DZA,43851043.0,145163902228.168,468402778164.2,265761.14539204305,74.2372266666666
American Samoa,ASM,55197.0,638000000.0,,16.363991174275,0.163
Angola,AGO,32866268.0,62306913444.2917,203707884595.18,79000.1087458652,12.4777533333333
Antigua and Barbuda,ATG,97928.0,1415059259.25926,1758426085.4054,627.4319501816,0.341666666666666
Argentina,ARG,45376763.0,383066977653.56,893310718364.297,395394.80206401146,144.66661
Armenia,ARM,2963234.0,12645459213.5235,37314925270.5811,8494.408176362635,6.29847
Aruba,ABW,106766.0,,,921.386896139785,0.991378666666666
Australia,AUS,25687041.0,1330900925056.98,1250903336355.91,580025.2189757632,253.678908999999
Austria,AUT,8917205.0,428965397959.456,463120426434.601,83908.78915273104,73.3954412
Azerbaijan,AZE,10110116.0,42607176470.5882,138505208279.324,56127.15425758612,23.2419633333333
Bahamas,BHS,393248.0,11250000000.0,12097927075.6159,2633.978162961137,1.91082633333333
Bahrain,BHR,1701583.0,38474521276.5957,69651497026.7846,60440.95672060958,28.39125
Bangladesh,BGD,164689383.0,324239176765.053,793489049407.076,262348.8511002813,79.7806153333333
Barbados,BRB,287371.0,4365500000.0,3698476984.34943,1575.529032671767,1.01466666666666
Belarus,BLR,9398861.0,60258239055.5829,179971036176.035,103263.64590196751,35.3765
Belgium,BEL,11555997.0,515332499627.861,557114998004.596,128490.74618855081,88.373649085
Belize,BLZ,397621.0,1763696118.9519,2433395861.93757,1069.1942451624132,0.682446
Benin,BEN,12123198.0,15651545208.8783,40287138158.1103,17242.09933532832,1.52538399999999
Bermuda,BMU,63903.0,7484113000.0,5228356032.22943,677.2711189639351,0.591333333333333
Bhutan,BTN,771612.0,2409262838.21987,8417592599.55667,2408.024000479377,2.54638
"Bolivia, Plurinational State of",BOL,11673029.0,36688861202.6049,92587598073.4578,59989.35448313347,9.73909
Bosnia and Herzegovina,BIH,3280815.0,19788422248.1072,47046333236.6377,30521.155039822155,12.5510766666666
Botswana,BWA,2351625.0,15781732825.8934,37720084925.348,12903.82936546135,3.65933333333333
