region,pop,gdp,gdp_ppp,ghg,electricity,pop_ratio,gdp_ratio,gdp_per_capita,ghg_ratio,ghg_per_capita,electricity_ratio,electricity_per_capita
Africa excluding South Africa,1264771840.0,2060606268924.8936,5562326965714.38,2606188.607158451,586.9666476666654,0.16426192787626773,0.024697276326167833,4397.889634951376,0.05336087162931589,2.0605998052253054,0.022959089170724416,0.4640889598448566
Brazil,212559409.0,1444733258971.65,2989431809530.72,1293379.7170559103,640.30928,0.02760610033077594,0.017315766263801633,14063.982505383801,0.026481532787080177,6.084791650205945,0.025045576123962167,3.0123779653527354
China,1402112000.0,14722730697890.1,23009776520440.6,13389075.90387836,7314.84,0.18209894696773885,0.17645843061093722,16410.797796781284,0.2741370131768758,9.54921996522272,0.28611858015645725,5.217015473799525
Czechia,10698896.0,243530379896.813,409974608448.645,128246.53604250927,72.423118071,0.001389516454689321,0.0029188191731874423,38319.33766331078,0.0026258064853295973,11.986894352698565,0.0028328165363805608,6.76921413863636
European Union + Great Britain,515009984.0,17900396176953.02,21383321811897.9,4287960.446721296,3224.381667696992,0.06688679346890408,0.21454415498830098,41520.20829929755,0.08779460792691891,8.325975378996334,0.1261210777876171,6.2608139023902725
India,1380004385.0,2622983732006.45,8443359944658.61,3614166.4377827183,1376.58234,0.17922772597293374,0.03143761862968855,6118.35733018965,0.07399889279071671,2.618952864981453,0.05384475731379681,0.9975202651258241
Japan + Korea,177616600.0,6695397881073.7,7412658948959.48,1994472.9585807514,1498.822344,0.023067911710327054,0.08024730103766507,41734.043715280444,0.04083619091060619,11.229090966614333,0.05862615190107413,8.438526263873984
Oil states of Persian Gulf,181177968.0,1839104712946.7832,4206789716083.218,2721666.3440846265,1056.8908859999979,0.02353044349278423,0.022042482338026803,23219.101983102148,0.055725241068747995,15.022060210348682,0.04134008668441408,5.8334404434870235
Russia,144104080.0,1483497784867.6,3875685903299.31,2315330.7481243275,1040.03548,0.018715481517706713,0.01778037622939427,26895.0462977822,0.04740565072332798,16.06707282766961,0.04068079067347194,7.21725214164651
Small islands,66124215.0,805540404443.3657,1108567945264.3416,346150.8532883645,174.89918233333307,0.008587865962610948,0.009654757563564383,16764.931655738244,0.007087327139702895,5.234857658247655,0.006841148366845835,2.645009582848478
South and central America,394921322.0,2663112953295.7563,5627998882153.563,2147977.476431449,873.0586706666653,0.05129030838571193,0.031918585072371955,14250.937006013475,0.043979146431573635,5.439001028238858,0.03414952442492663,2.210715456550268
Southeast Asia,826140452.0,2986399306729.757,8057295277013.85,3014957.976961211,1127.3492195298459,0.10729478554969346,0.035793314817518476,9752.936389336675,0.061730292709635766,3.6494496422034675,0.04409605104586973,1.3645975291497359
United States,329484123.0,20936600000000.0,19846716175352.9,6150046.1724600345,4199.37206555,0.04279166845507987,0.2509343989330997,60235.728491697,0.12592021291997507,18.665682936291393,0.16425764240145446,12.745294150486274
