REGISTRY_CODE,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,INSTALLATION_NAME,IDENTIFIER_IN_REG,INSTALLATION_NAME_CLEAN,OPERATOR_NAME_CLEAN,OWNER_ASSIGNED,MAIN_ACTIVITY_TYPE_CODE,MAIN_ACTIVITY_TYPE_NAME,REAL_ACTIVITY,PERIOD_YEAR,VERIFIED_EMISSIONS,FREE_ALLOCATION (a+b+c),a_ALLOCATION,b_ALLOCATION_RESERVE,c_ALLOCATION_TRANSITIONAL
CZ,192,CZ-0331-05,AERO Vodochody AERO - plynová kotelna Odolena Voda,AERO Vodochody AEROSPACE - plynová kotelna Odolena Voda,Plynová kotelna Odolena Voda,AERO Vodochody AERO,HSC Aerojet,20,Combustion of fuels,Ostatní odvětví,2008,4556,6288.0,6288,,
CZ,409,CZ-0432-07,AGC Flat Glass Czech - výrobní linka R3,AGC Flat Glass - výrobní linka R3,Výrobní linka R3,AGC Flat Glass Czech,AGC,31,Manufacture of glass,Sklo,2008,104219,152000.0,152000,,
CZ,263,CZ-0294-05,AGC Flat Glass Czech - závod Barevka,AGC Flat Glass - závod Barevka,Závod Barevka,AGC Flat Glass Czech,AGC,31,Manufacture of glass,Sklo,2008,23041,23604.0,23604,,
CZ,262,CZ-0334-05,AGC Flat Glass Czech - závod Řetenice,AGC Flat Glass - závod Řetenice,Závod Řetenice,AGC Flat Glass Czech,AGC,31,Manufacture of glass,Sklo,2008,260394,276238.0,276238,,
CZ,49,CZ-0097-05,"AL INVEST Břidličná, a.s.",AL INVEST Břidličná,AL INVEST Břidličná,AL INVEST Břidličná,MTX,20,Combustion of fuels,Ostatní odvětví,2008,9790,16454.0,16454,,
CZ,202,CZ-0354-05,ATALIAN CZ - Areál Zbrojovky Brno,ATALIAN CZ - Zbrojovka Brno,Areál Zbrojovky Brno,ATALIAN CZ,ATALIAN,20,Combustion of fuels,Výroba elektřiny a tepla,2008,1206,4007.0,4007,,
CZ,135,CZ-0215-05,Actherm - teplárna - spalovací zařízení,Actherm - teplárna,Teplárna – spalovací zařízení,Actherm,ČEZ,20,Combustion of fuels,Výroba elektřiny a tepla,2008,152651,175911.0,175911,,
CZ,346,CZ-0412-06,"Aircraft Industries, a. s. kotelna","Aircraft Industries, a. s.",Kotelna,Aircraft Industries,Omnipol,20,Combustion of fuels,Ostatní odvětví,2008,12448,13579.0,13579,,
CZ,189,CZ-0312-05,Ammann - Tepelné hospodářství,Ammann-Tep.hospodářství,Tepelné hospodářství,Ammann,Ammann,20,Combustion of fuels,Ostatní odvětví,2008,8999,11364.0,11364,,
CZ,61,CZ-0115-05,Amper Savings - Areál Gumotex Břeclav,Amper Savings - Gumotex Břeclav,Areál Gumotex Břeclav,Amper Savings,Amper,20,Combustion of fuels,Ostatní odvětví,2008,8767,14062.0,14062,,
CZ,24,CZ-0053-05,ArcelorMittal Frýdek-Místek,ArcelorMittal Frýdek-Místek,Frýdek-Místek,ArcelorMittal,Stalprodukt,24,Production of pig iron or steel,Železo a ocel,2008,39056,53104.0,53104,,
CZ,4,CZ-0021-05,ArcelorMittal Tubular Products Karviná,AM Tub.Prod.Karviná,ArcelorMittal Tubular Products Karviná,ArcelorMittal Tubular Products Karviná,ArcelorMittal,1,Combustion of fuels,Železo a ocel,2008,9547,12812.0,12812,,
CZ,337,CZ-0337-05,BEFACOAL s.r.o. - kotelna Dobříš,BEFACOAL s.r.o. - kotelna Dobříš,Kotelna Dobříš,BEFACOAL,BEFACOAL,1,Combustion of fuels,Výroba elektřiny a tepla,2008,4132,4597.0,4597,,
CZ,384,CZ-0338-05,BEFACOAL s.r.o. - kotelna Oslavany,BEFACOAL s.r.o. - kotelna Oslavany,Kotelna Oslavany,BEFACOAL,BEFACOAL,1,Combustion of fuels,Výroba elektřiny a tepla,2008,39,4445.0,4445,,
CZ,408,CZ-0434-07,"BFS Energo, a.s.","BFS Energo, a.s.",BFS Energo,BFS Energo,BFS,1,Combustion of fuels,Výroba elektřiny a tepla,2008,8859,10365.0,10365,,
CZ,359,CZ-0384-05,BRUDRA - Sdružení Teplárna Radotín,BRUDRA - Sdružení Teplárna,Sdružení Teplárna Radotín,BRUDRA,BRUDRA ,20,Combustion of fuels,Výroba elektřiny a tepla,2008,2537,2655.0,2655,,
CZ,157,CZ-0243-05,Balsac papermill s.r.o. - Lukavice,Balsac papermill s.r.o. - Lukavice,Lukavice,Balsac papermill,JIVA Trade,36,Production of paper or cardboard,Papír,2008,8769,10392.0,10392,,
CZ,360,CZ-0365-05,"Best - Business, a. s. - provozovna Kunštát",Best - Business - provozovna Kunštát,Provozovna Kunštát,Best Business,BEST-BUSINESS,32,Manufacture of ceramics,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)",2008,1261,1676.0,1676,,
CZ,91,CZ-0158-05,C-Energy Planá - TTA 2,C-Energy Planá - TTA 2,TTA 2,C-Energy Planá,C-Energy,20,Combustion of fuels,Výroba elektřiny a tepla,2008,2437,1871.0,1871,,
CZ,307,CZ-0282-05,C-Energy Planá - Teplárna,C-energy s.r.o.,Teplárna,C-Energy Planá,C-Energy,20,Combustion of fuels,Výroba elektřiny a tepla,2008,376499,374975.0,374975,,
CZ,50,CZ-0098-05,C-Energy Planá - kotelna TTA 1,C-Energy - TTA 1,Kotelna TTA 1,C-Energy Planá,C-Energy,20,Combustion of fuels,Výroba elektřiny a tepla,2008,98342,98342.0,98342,,
CZ,333,CZ-0301-05,CARMEUSE CZECH REPUBLIC s.r.o. - Vápenka Mokrá,CARMEUSE - Vápenka Mokrá,Vápenka Mokrá,CARMEUSE CZECH REPUBLIC,CARMEUSE,30,"Production of lime, or calcination of dolomite/magnesite",Cement a vápno,2008,213373,195269.0,195269,,
CZ,342,CZ-0381-05,"CEMEX Czech Republic, s.r.o.","CEMEX Czech Republic, s.r.o.",CEMEX Czech Republic,CEMEX Czech Republic,Cemex,29,Production of cement clinker,Cement a vápno,2008,533506,561232.0,561232,,
CZ,108,CZ-0186-05,CEREPA a.s.,Symphony No. 9 s.r.o.,CEREPA,CEREPA,Cerepa,36,Production of paper or cardboard,Papír,2008,3328,6676.0,6676,,
CZ,155,CZ-0241-05,CRYSTALEX CZ - závod Nový Bor,CRYSTALEX - závod Nový Bor,Závod Nový Bor,CRYSTALEX CZ,BUGAT,7,Manufacture of glass,Sklo,2008,13505,16002.0,16002,,
CZ,284,CZ-0168-05,CRYSTALITE BOHEMIA a.s.,Crystal BOHEMIA a.s.,CRYSTALITE BOHEMIA ,Crystal BOHEMIA,Crystal BOHEMIA,31,Manufacture of glass,Sklo,2008,19226,31359.0,31359,,
CZ,184,CZ-0300-05,CTZ s.r.o. - Kotelna,CTZ - Kotelna,Kotelna,CTZ,ENETIQA,20,Combustion of fuels,Výroba elektřiny a tepla,2008,21648,23553.0,23553,,
CZ,399,CZ-0427-06,Carthamus - Energoblok Domoradice,Carthamus - Energoblok Domoradice,Energoblok Domoradice,Carthamus,CARTHAMUS ,20,Combustion of fuels,Výroba elektřiny a tepla,2008,20663,26000.0,26000,,
CZ,75,CZ-0136-05,Cement Hranice - rotační pec,Cement Hranice - rotační pec,Rotační pec,Cement Hranice,Buzzi,29,Production of cement clinker,Cement a vápno,2008,675189,594885.0,594885,,
CZ,95,CZ-0163-05,Centrální zdroj tepla,CZT Příbram,Centrální zdroj tepla,Centrální zdroj tepla,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2008,313962,300869.0,300869,,
CZ,16,CZ-0041-05,"Chrudim IRON&STEEL,s.r.o. - Slévárna tvárné litiny","Chrudim IRON&STEEL, s.r.o. - Slévárna tvárné litiny",Slévárna tvárné litiny,Chrudim IRON&STEEL,Chrudim IRON & STEEL,20,Combustion of fuels,Železo a ocel,2008,535,640.0,640,,
