Installation ID,Installation Name,Installation Name (Clean),Company Name (MoE),Installation Address,First Verified Emissions Year,Last Verified Emissions Year,Main Activity Code,Main Activity Name
CZ-0005,Procter&Gamble - Rakona - Kotelna,Rakona – Kotelna,"PROCTER&GAMBLE-RAKONA, s.r.o.","Ottova 402, 269 32 Rakovník",2008,2025,20,Výroba elektřiny a tepla
CZ-0006,PARAMO-HS Pardubice,HS Pardubice,Paramo a.s.,"Přerovská  560, 53006 Pardubice",2008,2025,21,Rafinace minerálních olejů
CZ-0007,PARAMO-HS Kolín,HS Kolín,ORLEN Unipetrol RPA s.r.o.,"Ovčárecká 314, 28002 Kolín",2008,2025,21,Rafinace minerálních olejů
CZ-0021,ArcelorMittal Tubular Products Karviná,Tubular Products Karviná,ArcelorMittal Tubular Products Karviná a.s.,"Rudé armády 471, Karviná - Hranice, 73323",2008,2025,1,Výroba elektřiny a tepla
CZ-0023,Cukrovar Vrbátky - uhelná kotelna,Uhelná kotelna,,,2008,2024,20,Výroba elektřiny a tepla
CZ-0024,innogy Energo - Teplárna Náchod,Teplárna Náchod,"innogy Energo, s.r.o.","Plhovská 544, 547 35 Náchod",2008,2025,20,Výroba elektřiny a tepla
CZ-0025,innogy Energo - Teplárna Králův Dvůr,Teplárna Králův Dvůr,,,2008,2018,20,Výroba elektřiny a tepla
CZ-0028,OPATHERM - Výtopna Hillova,Výtopna Hillova,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0029,OPATHERM - Výtopna Olomoucká,Výtopna Olomoucká,,,2008,2017,20,Výroba elektřiny a tepla
CZ-0034,"Slévárna ČKD Kutná Hora, a.s.",Slévárna,"ČKD Kutná Hora, a.s.","Karlov č.p. 197, Kutná Hora, 284 49",2008,2025,20,Výroba elektřiny a tepla
CZ-0036,Iveco - Výtopna E-1,Výtopna E-1,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0038,DIAMO-odštěpný závod GEAM provoz Chemická úpravna,Odštěpný závod GEAM provoz Chemická úpravna,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0040,SCB Foundry - Slévárna České Budějovice,Slévárna České Budějovice,,,2008,2019,25,Železo a ocel
CZ-0041,"Chrudim IRON&STEEL,s.r.o. - Slévárna tvárné litiny",Slévárna tvárné litiny,,,2008,2014,20,Výroba elektřiny a tepla
CZ-0045,Plzeňský Prazdroj - varny závodu Plzeň,Varny závodu Plzeň,"Plzeňský Prazdroj, a.s.","U Prazdroje 64/7,301 00",2008,2025,20,Výroba elektřiny a tepla
CZ-0047,Kappa Morava Paper a Kappa Žimrovice,Kappa Morava Paper a Kappa Žimrovice,Smurfit Westrock Czech s.r.o.,"Žimrovice,  747 41, Hradec nad Moravicí - Žimrovice",2008,2025,1,Výroba elektřiny a tepla
CZ-0048,"Synthesia a.s., odštěpný závod SYNTHESIA",Odštěpný závod,"Synthesia, a.s.","Pardubice, Semtín, č.p.103, 532 17",2008,2025,20,Výroba elektřiny a tepla
CZ-0052,KAREL HOLOUBEK - Trade Group - Teplárna Bohatice,Teplárna Bohatice,,,2008,2017,20,Výroba elektřiny a tepla
CZ-0053,ArcelorMittal Frýdek-Místek,Frýdek-Místek,,,2008,2017,24,Železo a ocel
CZ-0063,Teva Czech Industries - Energetika - kotelna,Energetika – kotelna,Teva Czech Industries s.r.o.,"Ostravská 29, Opava, Komárov, 747 70",2008,2025,1,Výroba elektřiny a tepla
CZ-0065,Psychiatr. léčebna v Dobřanech - plynová kotelna,Plynová kotelna,,,2008,2017,20,Výroba elektřiny a tepla
CZ-0068,Sellier & Bellot - Centrální kotelna,Centrální kotelna,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0069,Tepelné hospodářství Prachatice - kotelna IV - byt,Kotelna IV – byt,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0070,ČEZ Energetické služby - kotelna Nádražní,Kotelna Nádražní,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0071,"Huhtamaki Česká republika, a.s.",Huhtamaki Česká republika,"Huhtamaki Česká republika, a.s.","Petrovická 101, 675 21 Přibyslavice",2008,2025,36,Papír
CZ-0075,POWGEN - TUBOX,POWGEN – TUBOX,,,2008,2015,20,Výroba elektřiny a tepla
CZ-0080,Elektrárny Opatovice - Elektrárna Opatovice,Elektrárna Opatovice,"Elektrárny Opatovice, a.s.","Opatovice nad Labem, 532 13 Pardubice 2",2008,2025,20,Výroba elektřiny a tepla
CZ-0084,SKATLOP a.s.,SKATLOP,,,2008,2024,20,Výroba elektřiny a tepla
CZ-0085,Teplárna Otrokovice - Teplárna,Teplárna,"Teplárna Otrokovice, a.s.",76502 Otrokovice,2008,2025,20,Výroba elektřiny a tepla
CZ-0086,PBS Industry - Plynová výtopna,Plynová výtopna,,,2008,2014,1,Výroba elektřiny a tepla
CZ-0087,"Teplárna Strakonice, a.s.",Teplárna Strakonice,"Teplárna Strakonice, a.s.","Komenského 59, 38643 Strakonice",2008,2025,20,Výroba elektřiny a tepla
CZ-0088,HOLOUBEK ENERGO - Teplárna divize Tevex,Teplárna divize Tevex,,,2008,2018,20,Výroba elektřiny a tepla
